,id,cidade,estado,data,precipitacao
169,2690,Porto Alegre,RS,2021-01-22,0.0
170,2700,Porto Alegre,RS,2021-01-23,0.0
171,2710,Porto Alegre,RS,2021-01-24,14.0
172,2720,Porto Alegre,RS,2021-01-25,0.0
173,2730,Porto Alegre,RS,2021-01-26,20.6
174,2740,Porto Alegre,RS,2021-01-27,23.8
175,2750,Porto Alegre,RS,2021-01-28,6.4
176,2760,Porto Alegre,RS,2021-01-29,0.8
177,2770,Porto Alegre,RS,2021-01-30,0.0
178,2780,Porto Alegre,RS,2021-01-31,6.6
179,2790,Porto Alegre,RS,2021-02-01,0.0
180,2800,Porto Alegre,RS,2021-02-02,5.6
181,2810,Porto Alegre,RS,2021-02-03,3.8
182,2820,Porto Alegre,RS,2021-02-04,14.0
183,2830,Porto Alegre,RS,2021-02-05,0.0
184,2840,Porto Alegre,RS,2021-02-06,0.0
185,2850,Porto Alegre,RS,2021-02-07,0.0
186,2860,Porto Alegre,RS,2021-02-08,0.0
187,2870,Porto Alegre,RS,2021-02-09,0.0
188,2880,Porto Alegre,RS,2021-02-10,0.0
189,2890,Porto Alegre,RS,2021-02-11,0.6
190,2900,Porto Alegre,RS,2021-02-12,2.2
191,2910,Porto Alegre,RS,2021-02-13,0.0
192,2920,Porto Alegre,RS,2021-02-14,0.0
193,2930,Porto Alegre,RS,2021-02-15,0.2
194,2940,Porto Alegre,RS,2021-02-16,0.0
195,2950,Porto Alegre,RS,2021-02-17,0.0
196,2960,Porto Alegre,RS,2021-02-18,0.0
197,2970,Porto Alegre,RS,2021-02-19,0.0
198,2980,Porto Alegre,RS,2021-02-20,0.0
199,2990,Porto Alegre,RS,2021-02-21,0.0
200,3000,Porto Alegre,RS,2021-02-22,0.0
201,3010,Porto Alegre,RS,2021-02-23,1.6
202,3020,Porto Alegre,RS,2021-02-24,0.0
203,3030,Porto Alegre,RS,2021-02-25,0.0
204,3040,Porto Alegre,RS,2021-02-26,0.0
205,3050,Porto Alegre,RS,2021-02-27,0.0
206,3060,Porto Alegre,RS,2021-02-28,0.0
207,3070,Porto Alegre,RS,2021-03-01,0.0
208,3080,Porto Alegre,RS,2021-03-02,0.0
209,3090,Porto Alegre,RS,2021-03-03,0.0
210,3100,Porto Alegre,RS,2021-03-04,10.4
211,3110,Porto Alegre,RS,2021-03-05,13.0
212,3120,Porto Alegre,RS,2021-03-06,0.0
213,3130,Porto Alegre,RS,2021-03-07,0.0
214,3140,Porto Alegre,RS,2021-03-08,0.0
215,3150,Porto Alegre,RS,2021-03-09,11.2
216,3160,Porto Alegre,RS,2021-03-10,0.0
217,3170,Porto Alegre,RS,2021-03-11,0.0
218,3180,Porto Alegre,RS,2021-03-12,0.0
219,3190,Porto Alegre,RS,2021-03-13,0.0
220,3200,Porto Alegre,RS,2021-03-14,0.0
221,3210,Porto Alegre,RS,2021-03-15,0.0
222,3220,Porto Alegre,RS,2021-03-16,0.0
223,3230,Porto Alegre,RS,2021-03-17,11.4
224,3240,Porto Alegre,RS,2021-03-18,0.0
225,3250,Porto Alegre,RS,2021-03-19,0.0
226,3260,Porto Alegre,RS,2021-03-20,0.0
227,3270,Porto Alegre,RS,2021-03-21,2.4
228,3280,Porto Alegre,RS,2021-03-22,1.4
229,3290,Porto Alegre,RS,2021-03-23,3.6
230,3300,Porto Alegre,RS,2021-03-24,0.4
231,3310,Porto Alegre,RS,2021-03-25,0.0
232,3320,Porto Alegre,RS,2021-03-26,8.0
233,3330,Porto Alegre,RS,2021-03-27,0.0
234,3340,Porto Alegre,RS,2021-03-28,1.4
235,3350,Porto Alegre,RS,2021-03-29,0.0
236,3360,Porto Alegre,RS,2021-03-30,3.8
237,3370,Porto Alegre,RS,2021-03-31,0.2
238,3380,Porto Alegre,RS,2021-04-01,0.2
239,3390,Porto Alegre,RS,2021-04-02,0.0
240,3400,Porto Alegre,RS,2021-04-03,0.0
241,3410,Porto Alegre,RS,2021-04-04,0.0
242,3420,Porto Alegre,RS,2021-04-05,0.0
243,3430,Porto Alegre,RS,2021-04-06,0.0
244,3440,Porto Alegre,RS,2021-04-07,0.0
245,3450,Porto Alegre,RS,2021-04-08,0.0
246,3460,Porto Alegre,RS,2021-04-09,0.0
247,3470,Porto Alegre,RS,2021-04-10,0.0
248,3480,Porto Alegre,RS,2021-04-11,0.2
249,3490,Porto Alegre,RS,2021-04-12,0.0
250,3500,Porto Alegre,RS,2021-04-13,0.0
251,3510,Porto Alegre,RS,2021-04-14,0.0
